Zaman(s);Mod;Hata_e(t);Kontrol_u(t);Arac_X;Arac_Z;Referans_X;Referans_Z;Hiz(m/s);HedefHiz(m/s)
0.000;PID;0.0000;0.0000;-41.156;576.229;-41.000;576.000;13.84;14.00
0.120;PID;-0.0177;0.1248;-42.077;577.576;-41.940;577.343;13.54;14.00
0.240;PID;0.1683;1.2489;-42.984;578.911;-42.681;578.757;13.39;14.00
0.360;PID;0.4995;2.2417;-43.861;580.246;-43.240;580.171;13.25;14.00
0.480;PID;0.9366;3.2939;-44.692;581.591;-43.648;581.596;13.12;14.00
0.600;PID;1.4190;4.1748;-45.465;582.952;-43.939;582.951;12.98;14.00
0.720;PID;1.9220;4.9815;-46.165;584.332;-44.145;584.340;12.84;14.00
0.840;PID;2.4084;5.5943;-46.782;585.734;-44.283;585.695;12.70;14.00
0.960;PID;2.8708;6.1770;-47.306;587.154;-44.356;587.021;12.56;14.00
1.080;PID;3.2798;6.5575;-47.731;588.588;-44.386;588.390;12.40;14.00
1.180;PID;3.5774;6.7978;-48.006;589.789;-44.380;589.457;12.27;14.00
1.300;PID;3.8752;6.9862;-48.239;591.230;-44.336;590.816;12.09;14.00
1.420;PID;4.0984;6.9953;-48.367;592.662;-44.261;592.176;11.91;14.00
1.520;PID;4.2293;6.9370;-48.397;593.843;-44.183;593.245;11.74;14.00
1.640;PID;4.3206;6.7898;-48.345;595.236;-44.061;594.577;11.53;14.00
1.740;PID;4.3416;6.5738;-48.235;596.373;-43.946;595.671;11.35;14.00
1.860;PID;4.3050;6.2332;-48.029;597.703;-43.794;596.971;11.12;14.00
1.960;PID;4.2295;5.9243;-47.803;598.779;-43.670;597.930;10.91;14.00
2.060;PID;4.1153;5.5686;-47.535;599.823;-43.518;599.030;10.69;14.00
2.160;PID;3.9677;5.1852;-47.231;600.834;-43.371;600.044;10.47;14.00
